id,instance_name,public_ip,private_ip,instance_type,instance_id,region,latency,project,platform,insert_time,role
143,Online-EU_CloudIM_IM1-210507,18.198.199.26,11.0.206.146,a1.large,i-08d912223a8a60523,Europe (Frankfurt),0,gdms-account,aws,2022-03-14 09:36:43,
144,Online-EU_CloudIM_MySQL-211122-repl,18.198.219.182,11.0.206.7,m5.large,i-008bfaa75931ff08c,Europe (Frankfurt),0,gdms-account,aws,2022-03-14 09:36:43,
151,Online-EU-GDMS-MySQL-dns,3.120.1.3,11.0.206.10,m5.large,i-09f9db0d1ab14cca0,Europe (Frankfurt),0,gdms,aws,2022-03-14 09:38:08,
152,Online-EU-GDMS-STun-Syslog,52.28.7.85,11.0.206.122,m5.large,i-0bb3a378c4507c011,Europe (Frankfurt),0,gdms,aws,2022-03-14 09:38:08,
153,Online-EU-GDMS-Slave-20200905,3.124.166.40,11.0.206.180,m5.large,i-0698679a9f8d7408a,Europe (Frankfurt),0,gdms,aws,2022-03-17 09:16:59,web
154,Online-EU-GDMS-Master-20200905,35.156.23.78,11.0.206.8,m5.large,i-04a431345900d78b0,Europe (Frankfurt),0,gdms,aws,2022-03-17 09:16:59,web
155,Online-EU_CloudIM_IM1-210507,18.198.199.26,11.0.206.146,a1.large,i-08d912223a8a60523,Europe (Frankfurt),0,gdms,aws,2022-03-14 09:38:08,
156,Online-EU_CloudIM_MySQL-211122-repl,18.198.219.182,11.0.206.7,m5.large,i-008bfaa75931ff08c,Europe (Frankfurt),0,gdms,aws,2022-03-14 09:38:08,
185,Online-GDMS-STUN-SYSLOG,34.215.167.138,11.0.206.112,m5.large,i-007091ce792c134b4,US West (Oregon),0,gdms,aws,2022-03-14 09:53:21,
186,Online-GDMS-Slave-20200905,100.21.29.118,11.0.206.176,m5.large,i-008afbc73f27a8f6e,US West (Oregon),0,gdms,aws,2022-03-17 09:01:27,web
187,Online-GDMS-Master-20200905,54.69.43.157,11.0.206.142,m5.large,i-037afa1213027172d,US West (Oregon),0,gdms,aws,2022-03-17 09:01:27,web
188,Online-GMDS_MySQL-DNS-0927,34.209.37.63,11.0.206.24,m5.large,i-03cd96e06713fbeb5,US West (Oregon),0,gdms,aws,2022-03-14 09:53:21,
189,Online-GDMS-Notification-20210412,34.217.185.246,11.0.206.229,c5.large,i-00cb9619b86d8a10d,US West (Oregon),0,gdms,aws,2022-03-14 09:53:21,
190,Online_CloudIM_IM1-210507,54.184.209.7,11.0.206.144,a1.large,i-098ec283b6c534322,US West (Oregon),0,gdms,aws,2022-03-14 09:53:21,
192,Online-GDMS-Slave-20211029,34.208.176.19,11.0.206.5,m5.large,i-0d61e47f09d99d5e9,US West (Oregon),0,gdms,aws,2022-03-17 09:01:27,web
195,Online_CloudIM_MySQL-211122,52.32.134.108,11.0.206.126,m5.large,i-0d4adf1bd4d8263cc,US West (Oregon),0,gdms,aws,2022-03-14 09:53:21,
196,Online-GDMS-Account-20220113,54.185.115.131,11.0.206.107,m5.large,i-0988ee412eb3dfbcf,US West (Oregon),0,gdms,aws,2022-03-14 09:53:21,
197,Online-GDMS-Master-20200905-20220124,52.89.224.98,11.0.206.135,m5.large,i-09d60c0cef2bb3791,US West (Oregon),0,gdms,aws,2022-03-17 09:01:27,web
198,Online-GDMS-Master-20200905-20220215,52.40.3.22,11.0.206.134,m5.large,i-00665bd3b4d636d7e,US West (Oregon),0,gdms,aws,2022-03-17 09:01:27,web
